time,eventTime,status,event,campaignId,adId,marketplace_id,exchangeId,siteId,ext_supply_attr_internal_id,inventorySource,supply_source_type,advertiser_bid,internal_max_bid,bidprice_to_exchange,cpa_goal,countryId,countryCarrierId,deviceId,deviceManufacturerId,deviceModelId,deviceOsId,deviceBrowserId,ipAddress,userAgent,xForwardedFor,urlExtraParameters,version,requestId,srcRequestId,impressionId,srcUrlHash,aliasUrlId,thirdPartyTrackingUrlEventId,thirdPartyId,thirdPartyUrlHash,auction_price,auction_currency,auction_seat_id,auction_bid_id,auction_id,auction_imp_id,countryRegionId,selectedSiteCategoryId,urlVersion,bidderModelId,slotId,buyerUid

2015-03-17 06:00:00,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-17 06:00:00,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-17 06:00:00,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-17 06:10:00,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-17 06:10:03,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-17 07:10:03,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-16 07:10:03,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-16 07:10:03,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-16 07:10:03,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015-03-16 07:10:03,null,null,CLICK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
