,time,COUNTRY NAME,TOTAL REQUEST,TOTAL IMPRESSION,TOTAL BID VALUE,TOTAL CLICK,TOTAL WIN,TOTAL WIN BID VALUE,TOTAL CLIENT RENDER,Conversions,Revenue,PubIncome,CTR (%),FR (%)
,2014-07-27 21:30:00.0,India,1,1,0.005,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-28 22:30:00.0,India,9,17,0.077,0,0,0.000,0,0,0.000,0.000,0.000,188.889
,2014-07-28 23:30:00.0,India,5,6,0.032,0,0,0.000,0,0,0.000,0.000,0.000,120.000
,2014-07-29 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 07:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 08:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 09:30:00.0,India,7,7,0.035,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 10:30:00.0,India,1,3,0.013,0,0,0.000,0,0,0.000,0.000,0.000,300.000
,2014-07-29 11:30:00.0,India,14,20,0.094,0,0,0.000,0,0,0.000,0.000,0.000,142.857
,2014-07-29 12:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 13:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 14:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 15:30:00.0,India,6,6,0.030,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 16:30:00.0,India,8,8,0.040,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 17:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 19:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 22:30:00.0,India,1,1,0.005,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 16:30:00.0,India,6,12,0.062,0,0,0.000,0,0,0.000,0.000,0.000,200.000
,2014-07-30 17:30:00.0,India,11,11,0.055,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
